Campo_Tec;Area_Tec;Ano;Depósitos
Elementos mecânicos;Engenharia mecânica;1999;223
Controle;Instrumentos;1999;209
Máquinas ferramentas;Engenharia mecânica;1999;162
Medição;Instrumentos;1999;153
Aparelhos e processos térmicos;Engenharia mecânica;1999;148
Engenharia química;Química;1999;147
Motores - bombas - turbinas;Engenharia mecânica;1999;117
Química de alimentos;Química;1999;103
Telecomunicações;Engenharia elétrica;1999;101
Produtos farmacêuticos;Química;1999;88
Máquinas têxteis e de papel;Engenharia mecânica;1999;79
Tecnologia aplicada ao meio ambiente;Química;1999;77
Química de materiais básicos;Química;1999;73
Tecnologia da computação;Engenharia elétrica;1999;63
Materiais - metalurgia;Química;1999;61
Tecnologia de superfícies e revestimentos;Química;1999;60
Ótica;Instrumentos;1999;51
Biotecnologia;Química;1999;23
Química orgânica fina;Química;1999;22
Química macromolecular e polímeros;Química;1999;15
Análise de material biológico;Instrumentos;1999;13
Processos básicos de comunicação;Engenharia elétrica;1999;7
Comunicação digital;Engenharia elétrica;1999;5
Semicondutores;Engenharia elétrica;1999;2
Métodos de gestão em TI;Engenharia elétrica;1999;
Microestruturas e nanotecnologia;Química;1999;
Mobiliário - jogos;Outras áreas;2000;759
Engenharia civil;Outras áreas;2000;602
Transporte;Engenharia mecânica;2000;528
Manejo;Engenharia mecânica;2000;524
Outros bens de consumo;Outras áreas;2000;469
Outras maquinas especiais;Engenharia mecânica;2000;444
Tecnologia aplicada a medicina;Instrumentos;2000;308
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2000;293
Elementos mecânicos;Engenharia mecânica;2000;239
Tecnologia audiovisual;Engenharia elétrica;2000;210
Controle;Instrumentos;2000;208
Máquinas ferramentas;Engenharia mecânica;2000;154
Engenharia química;Química;2000;146
Motores - bombas - turbinas;Engenharia mecânica;2000;140
Medição;Instrumentos;2000;137
Química de alimentos;Química;2000;111
Máquinas têxteis e de papel;Engenharia mecânica;2000;111
Tecnologia aplicada ao meio ambiente;Química;2000;110
Aparelhos e processos térmicos;Engenharia mecânica;2000;108
Telecomunicações;Engenharia elétrica;2000;101
Produtos farmacêuticos;Química;2000;93
Tecnologia da computação;Engenharia elétrica;2000;90
Materiais - metalurgia;Química;2000;80
Química de materiais básicos;Química;2000;73
Ótica;Instrumentos;2000;36
Tecnologia de superfícies e revestimentos;Química;2000;35
Biotecnologia;Química;2000;30
Química macromolecular e polímeros;Química;2000;30
Química orgânica fina;Química;2000;16
Processos básicos de comunicação;Engenharia elétrica;2000;11
Comunicação digital;Engenharia elétrica;2000;10
