Campo_Tec;Area_Tec;Ano;Depósitos
Transporte;Engenharia mecânica;2003;155
Medição;Instrumentos;2003;143
Comunicação digital;Engenharia elétrica;2003;138
Máquinas ferramentas;Engenharia mecânica;2003;118
Tecnologia de superfícies e revestimentos;Química;2003;114
Outros bens de consumo;Outras áreas;2003;109
Química de alimentos;Química;2003;106
Motores - bombas - turbinas;Engenharia mecânica;2003;94
Materiais - metalurgia;Química;2003;89
Ótica;Instrumentos;2003;82
Tecnologia audiovisual;Engenharia elétrica;2003;74
Mobiliário - jogos;Outras áreas;2003;73
Controle;Instrumentos;2003;54
Aparelhos e processos térmicos;Engenharia mecânica;2003;45
Tecnologia aplicada ao meio ambiente;Química;2003;40
Análise de material biológico;Instrumentos;2003;29
Processos básicos de comunicação;Engenharia elétrica;2003;27
Semicondutores;Engenharia elétrica;2003;13
Métodos de gestão em TI;Engenharia elétrica;2003;5
Microestruturas e nanotecnologia;Química;2003;1
Produtos farmacêuticos;Química;2004;751
Química orgânica fina;Química;2004;579
Tecnologia aplicada a medicina;Instrumentos;2004;441
Química de materiais básicos;Química;2004;335
Tecnologia da computação;Engenharia elétrica;2004;327
Telecomunicações;Engenharia elétrica;2004;286
Química macromolecular e polímeros;Química;2004;283
Biotecnologia;Química;2004;269
Manejo;Engenharia mecânica;2004;210
Transporte;Engenharia mecânica;2004;198
Outras maquinas especiais;Engenharia mecânica;2004;197
Engenharia química;Química;2004;196
Elementos mecânicos;Engenharia mecânica;2004;185
Comunicação digital;Engenharia elétrica;2004;183
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2004;179
Máquinas têxteis e de papel;Engenharia mecânica;2004;154
Química de alimentos;Química;2004;147
Engenharia civil;Outras áreas;2004;146
Medição;Instrumentos;2004;144
Máquinas ferramentas;Engenharia mecânica;2004;139
Tecnologia de superfícies e revestimentos;Química;2004;135
Motores - bombas - turbinas;Engenharia mecânica;2004;119
Materiais - metalurgia;Química;2004;119
Outros bens de consumo;Outras áreas;2004;97
Ótica;Instrumentos;2004;92
Tecnologia audiovisual;Engenharia elétrica;2004;74
Mobiliário - jogos;Outras áreas;2004;72
Controle;Instrumentos;2004;58
Tecnologia aplicada ao meio ambiente;Química;2004;52
Aparelhos e processos térmicos;Engenharia mecânica;2004;36
Análise de material biológico;Instrumentos;2004;34
Métodos de gestão em TI;Engenharia elétrica;2004;18
Semicondutores;Engenharia elétrica;2004;14
Processos básicos de comunicação;Engenharia elétrica;2004;14
Microestruturas e nanotecnologia;Química;2004;
Química orgânica fina;Química;2005;728
Produtos farmacêuticos;Química;2005;675
Tecnologia aplicada a medicina;Instrumentos;2005;490
Química de materiais básicos;Química;2005;393
Tecnologia da computação;Engenharia elétrica;2005;366
Química macromolecular e polímeros;Química;2005;299
Biotecnologia;Química;2005;298
Outras maquinas especiais;Engenharia mecânica;2005;233
Telecomunicações;Engenharia elétrica;2005;227
Engenharia química;Química;2005;208
Manejo;Engenharia mecânica;2005;204
Comunicação digital;Engenharia elétrica;2005;179
Elementos mecânicos;Engenharia mecânica;2005;173
Engenharia civil;Outras áreas;2005;169
Máquinas têxteis e de papel;Engenharia mecânica;2005;168
Máquinas ferramentas;Engenharia mecânica;2005;162
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2005;161
Transporte;Engenharia mecânica;2005;160
Ótica;Instrumentos;2005;154
Medição;Instrumentos;2005;150
Química de alimentos;Química;2005;138
Outros bens de consumo;Outras áreas;2005;137
Tecnologia de superfícies e revestimentos;Química;2005;136
Motores - bombas - turbinas;Engenharia mecânica;2005;118
Materiais - metalurgia;Química;2005;102
Tecnologia audiovisual;Engenharia elétrica;2005;89
Controle;Instrumentos;2005;78
Aparelhos e processos térmicos;Engenharia mecânica;2005;72
Mobiliário - jogos;Outras áreas;2005;69
Análise de material biológico;Instrumentos;2005;53
Tecnologia aplicada ao meio ambiente;Química;2005;49
Métodos de gestão em TI;Engenharia elétrica;2005;41
Microestruturas e nanotecnologia;Química;2005;36
Processos básicos de comunicação;Engenharia elétrica;2005;30
Semicondutores;Engenharia elétrica;2005;17
Química orgânica fina;Química;2006;667
Tecnologia aplicada a medicina;Instrumentos;2006;577
Produtos farmacêuticos;Química;2006;571
Tecnologia da computação;Engenharia elétrica;2006;460
Química de materiais básicos;Química;2006;430
Química macromolecular e polímeros;Química;2006;340
Biotecnologia;Química;2006;326
Comunicação digital;Engenharia elétrica;2006;248
Outras maquinas especiais;Engenharia mecânica;2006;222
Engenharia química;Química;2006;217
Manejo;Engenharia mecânica;2006;216
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2006;205
Telecomunicações;Engenharia elétrica;2006;204
Medição;Instrumentos;2006;188
Química de alimentos;Química;2006;174
Transporte;Engenharia mecânica;2006;172
Máquinas têxteis e de papel;Engenharia mecânica;2006;166
Elementos mecânicos;Engenharia mecânica;2006;165
Tecnologia de superfícies e revestimentos;Química;2006;163
Engenharia civil;Outras áreas;2006;162
Máquinas ferramentas;Engenharia mecânica;2006;154
Ótica;Instrumentos;2006;119
Materiais - metalurgia;Química;2006;115
Motores - bombas - turbinas;Engenharia mecânica;2006;114
Outros bens de consumo;Outras áreas;2006;93
Controle;Instrumentos;2006;88
Mobiliário - jogos;Outras áreas;2006;84
Tecnologia audiovisual;Engenharia elétrica;2006;75
Métodos de gestão em TI;Engenharia elétrica;2006;58
Análise de material biológico;Instrumentos;2006;56
Tecnologia aplicada ao meio ambiente;Química;2006;54
Aparelhos e processos térmicos;Engenharia mecânica;2006;39
Semicondutores;Engenharia elétrica;2006;26
Processos básicos de comunicação;Engenharia elétrica;2006;8
Microestruturas e nanotecnologia;Química;2006;3
Química orgânica fina;Química;2007;583
Tecnologia aplicada a medicina;Instrumentos;2007;558
Produtos farmacêuticos;Química;2007;523
Química de materiais básicos;Química;2007;444
Tecnologia da computação;Engenharia elétrica;2007;357
Biotecnologia;Química;2007;356
Comunicação digital;Engenharia elétrica;2007;320
Química macromolecular e polímeros;Química;2007;262
Engenharia química;Química;2007;224
Telecomunicações;Engenharia elétrica;2007;224
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2007;220
Engenharia civil;Outras áreas;2007;209
Medição;Instrumentos;2007;205
Manejo;Engenharia mecânica;2007;200
Outras maquinas especiais;Engenharia mecânica;2007;185
Elementos mecânicos;Engenharia mecânica;2007;182
Química de alimentos;Química;2007;171
Transporte;Engenharia mecânica;2007;165
Tecnologia de superfícies e revestimentos;Química;2007;128
Máquinas têxteis e de papel;Engenharia mecânica;2007;126
Outros bens de consumo;Outras áreas;2007;116
Materiais - metalurgia;Química;2007;115
Ótica;Instrumentos;2007;115
Máquinas ferramentas;Engenharia mecânica;2007;113
Motores - bombas - turbinas;Engenharia mecânica;2007;110
Tecnologia audiovisual;Engenharia elétrica;2007;88
Métodos de gestão em TI;Engenharia elétrica;2007;88
Tecnologia aplicada ao meio ambiente;Química;2007;77
Aparelhos e processos térmicos;Engenharia mecânica;2007;68
Controle;Instrumentos;2007;61
Mobiliário - jogos;Outras áreas;2007;60
Análise de material biológico;Instrumentos;2007;60
Semicondutores;Engenharia elétrica;2007;38
Processos básicos de comunicação;Engenharia elétrica;2007;18
Microestruturas e nanotecnologia;Química;2007;2
Química orgânica fina;Química;2008;513
Química de materiais básicos;Química;2008;487
Comunicação digital;Engenharia elétrica;2008;473
Tecnologia aplicada a medicina;Instrumentos;2008;458
Biotecnologia;Química;2008;399
Produtos farmacêuticos;Química;2008;396
Engenharia civil;Outras áreas;2008;349
Tecnologia da computação;Engenharia elétrica;2008;338
Química macromolecular e polímeros;Química;2008;271
Engenharia química;Química;2008;245
Medição;Instrumentos;2008;224
Outras maquinas especiais;Engenharia mecânica;2008;209
